AAL,57.09692,9.856463,DK,Europe/Copenhagen,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
LIM,-12.024053,-77.11204,PE,America/Lima,-18000,0,No DST
LIN,45.452175,9.276308,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
IST,40.98299,28.810442,TR,Europe/Istanbul,10800,0,No DST
KOJ,31.802853,130.71802,JP,Asia/Tokyo,32400,0,No DST
LAS,36.084,-115.15374,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
LOS,6.5818186,3.3211348,NG,Africa/Lagos,3600,0,No DST
LUX,49.6289,6.2147446,LU,Europe/Luxembourg,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
LYS,45.72342,5.0887766,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MAD,40.498333,-3.567598,ES,Europe/Madrid,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MAJ,7.069028,171.28288,MH,Pacific/Majuro,43200,0,No DST
MAN,53.358803,-2.2727304,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MCO,28.431158,-81.30808,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
MEL,-37.669014,144.84103,AU,Australia/Melbourne,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
MEX,19.436077,-99.07191,MX,America/Mexico_City,-21600,0,2022-04-03 08:00:00,2022-10-30 07:00:00
MFM,22.157835,113.576416,MO,Asia/Macau,28800,0,No DST
MGA,12.144651,-86.17132,NI,America/Managua,-21600,0,No DST
MIA,25.795864,-80.28705,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
MIG,31.43111,104.73805,CN,Asia/Shanghai,28800,0,No DST
MNL,14.516388,121.01925,PH,Asia/Manila,28800,0,No DST
MPM,-25.92372,32.574867,MZ,Africa/Maputo,7200,0,No DST
MRS,43.438423,5.214414,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MSP,44.884754,-93.22228,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
MSU,-29.455463,27.55906,LS,Africa/Maseru,7200,0,No DST
MSY,29.9922,-90.25901,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
MUC,48.35366,11.775028,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MXP,45.630062,8.725531,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
MYJ,33.82905,132.7041,JP,Asia/Tokyo,32400,0,No DST
MYY,4.321545,113.98562,MY,Asia/Kuching,28800,0,No DST
NBO,-1.3227102,36.92607,KE,Africa/Nairobi,10800,0,No DST
NRT,35.771988,140.39285,JP,Asia/Tokyo,32400,0,No DST
NUE,49.49712,11.079808,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
NVT,-26.880535,-48.649086,BR,America/Sao_Paulo,-10800,0,No DST
ODS,46.42983,30.67744,UA,Europe/Kiev,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
OGG,20.896791,-156.43294,US,Pacific/Honolulu,-36000,0,No DST
OKA,26.206404,127.646545,JP,Asia/Tokyo,32400,0,No DST
ONT,34.055977,-117.59806,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
OPO,41.24212,-8.678552,PT,Europe/Lisbon,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
ORD,41.974163,-87.90732,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
ORK,51.84906,-8.489884,IE,Europe/Dublin,0,1,2022-03-27 01:00:00,2022-10-30 01:00:00
OSL,60.19755,11.100415,NO,Europe/Oslo,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
OTP,44.570732,26.084412,RO,Europe/Bucharest,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
NCE,43.659767,7.2148213,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
NCL,55.039345,-1.6931281,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
NGO,34.859093,136.8146,JP,Asia/Tokyo,32400,0,No DST
NKG,31.73359,118.871445,CN,Asia/Shanghai,28800,0,No DST
NNG,22.609644,108.17166,CN,Asia/Shanghai,28800,0,No DST
PEN,5.2934294,100.271515,MY,Asia/Kuala_Lumpur,28800,0,No DST
PER,-31.938547,115.96725,AU,Australia/Perth,28800,0,No DST
PAP,18.575655,-72.29489,HT,America/Port-au-Prince,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
PDX,45.58977,-122.59509,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
PEK,40.079857,116.60311,CN,Asia/Shanghai,28800,0,No DST
PHF,37.131668,-76.492775,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
PHL,39.874397,-75.242424,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
PHL,39.874397,-75.242424,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
PIT,40.495773,-80.24131,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
PKX,40.0799,116.603,CN,Asia/Shanghai,28800,0,No DST
PNH,11.552743,104.844475,KH,Asia/Phnom_Penh,25200,0,No DST
POZ,52.419952,16.828615,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
PPG,-14.331389,-170.7114,AS,Pacific/Pago_Pago,-39600,0,No DST
PRG,50.10179,14.263181,CZ,Europe/Prague,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
PTY,9.066701,-79.387375,PA,America/Panama,-18000,0,No DST
PVG,31.144344,121.80827,CN,Asia/Shanghai,28800,0,No DST
QKL,50.9425,6.958056,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
QYG,52.5251,13.3694,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
RDU,35.880077,-78.787994,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
RGN,16.902773,96.13526,MM,Asia/Yangon,23400,0,No DST
RIC,37.50658,-77.32081,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
RIX,56.922657,23.973312,LV,Europe/Riga,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
SLC,40.78994,-111.97907,US,America/Denver,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
SMF,38.695084,-121.590065,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SNA,33.67619,-117.86748,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SOF,42.693428,23.407124,BG,Europe/Sofia,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
SRG,-6.9655857,110.374916,ID,Asia/Jakarta,25200,0,No DST
STL,38.751648,-90.37153,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
TLS,43.629387,1.367682,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TLV,32.00553,34.88541,IL,Asia/Jerusalem,7200,0,2022-03-25 00:00:00,2022-10-29 23:00:00
TMW,-31.084454,150.84837,AU,Australia/Sydney,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
TPA,27.983479,-82.53708,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
RNO,39.49959,-119.7681,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
ROR,7.364302,134.53291,PW,Pacific/Palau,32400,0,No DST
ROV,47.254948,39.803177,RU,Europe/Moscow,10800,0,No DST
RSW,26.533705,-81.75531,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
RZE,50.114826,22.024597,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
SAF,35.618256,-106.08453,US,America/Denver,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
SJC,37.36395,-121.92894,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SZB,3.132803,101.5544,MY,Asia/Kuala_Lumpur,28800,0,No DST
SZG,47.79265,13.002928,AT,Europe/Vienna,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
SZX,22.636827,113.814606,CN,Asia/Shanghai,28800,0,No DST
TAO,36.266674,120.383125,CN,Asia/Shanghai,28800,0,No DST
TFS,28.046757,-16.57253,ES,Atlantic/Canary,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TFU,30.2715,104.444,CN,Asia/Shanghai,28800,0,No DST
TGG,5.3789315,103.10537,MY,Asia/Kuala_Lumpur,28800,0,No DST
TLL,59.414127,24.832975,EE,Europe/Tallinn,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
SAL,13.445138,-89.05704,SV,America/El_Salvador,-21600,0,No DST
SAN,32.7338,-117.193306,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SAP,15.45445,-87.92651,HN,America/Tegucigalpa,-21600,0,No DST
SAT,29.531197,-98.468346,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
SCL,-33.39051,-70.79381,CL,America/Santiago,-10800,1,2022-04-03 03:00:00,2022-09-04 04:00:00
SEA,47.45025,-122.308815,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SFO,37.62131,-122.37895,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
SGN,10.818463,106.65882,VN,Asia/Ho_Chi_Minh,25200,0,No DST
SHA,31.19221,121.3343,CN,Asia/Shanghai,28800,0,No DST
SHO,-26.357834,31.72097,SZ,Africa/Mbabane,7200,0,No DST
SIN,1.3644202,103.99153,SG,Asia/Singapore,28800,0,No DST
SJO,9.997981,-84.20402,CR,America/Costa_Rica,-21600,0,No DST
SKB,17.311506,-62.718426,KN,America/St_Kitts,-14400,0,No DST
SUB,-7.3788853,112.78729,ID,Asia/Jakarta,25200,0,No DST
SVO,55.973648,37.412502,RU,Europe/Moscow,10800,0,No DST
SYD,-33.939922,151.17528,AU,Australia/Sydney,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
SYR,43.11393,-76.11019,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
TST,7.5094256,99.61646,TH,Asia/Bangkok,25200,0,No DST
TUS,32.11451,-110.939224,US,America/Phoenix,-25200,0,No DST
UBP,15.247016,104.87071,TH,Asia/Bangkok,25200,0,No DST
UPG,-5.077747,119.549484,ID,Asia/Makassar,28800,0,No DST
VCE,45.506313,12.34752,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
STR,48.687637,9.205576,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TPE,25.07965,121.234215,TW,Asia/Taipei,28800,0,No DST
TRD,63.45827,10.922599,NO,Europe/Oslo,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TSA,25.067566,121.5527,TW,Asia/Taipei,28800,0,No DST
TSN,39.130405,117.3592,CN,Asia/Shanghai,28800,0,No DST
VIE,48.115833,16.566576,AT,Europe/Vienna,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VLC,39.48923,-0.4780256,ES,Europe/Madrid,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VNO,54.638035,25.286558,LT,Europe/Vilnius,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VRN,45.4,10.890141,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VTE,17.98692,102.56344,LA,Asia/Vientiane,25200,0,No DST
VVO,43.39485,132.14774,RU,Asia/Vladivostok,36000,0,No DST
WAW,52.167236,20.967892,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
WRO,51.104164,16.880934,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
WUH,30.776617,114.21245,CN,Asia/Shanghai,28800,0,No DST
WUX,31.498625,120.435265,CN,Asia/Shanghai,28800,0,No DST
XMN,24.53907,118.13437,CN,Asia/Shanghai,28800,0,No DST
YEG,53.30661,-113.58982,CA,America/Edmonton,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
YIA,-7.79558,110.369,ID,Asia/Jakarta,25200,0,No DST
YLW,49.95693,-119.37873,CA,America/Vancouver,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
YMM,56.649204,-111.23003,CA,America/Edmonton,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
YOW,45.319214,-75.66917,CA,America/Toronto,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
YQU,55.17668,-118.87381,CA,America/Edmonton,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
YSJ,45.3265,-65.88887,CA,America/Moncton,-10800,1,2022-03-13 06:00:00,2022-11-06 05:00:00
YUL,45.465687,-73.74548,CA,America/Toronto,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
YUM,32.668552,-114.59914,US,America/Phoenix,-25200,0,No DST
YVR,49.19669,-123.18151,CA,America/Vancouver,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
YXS,53.884113,-122.67399,CA,America/Vancouver,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
YYC,51.121502,-114.007614,CA,America/Edmonton,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
YYJ,48.6481,-123.42866,CA,America/Vancouver,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
YYZ,43.67772,-79.62482,CA,America/Toronto,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
ZAG,45.74075,16.067436,HR,Europe/Zagreb,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
ZRH,47.458218,8.555475,CH,Europe/Zurich,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
ZUH,22.008072,113.37859,CN,Asia/Shanghai,28800,0,No DST
ZVR,52.3765,9.74103,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
